,RMSE,MAPE,SNR,PCC,ModelName,hoMR,impMR,redMR,cvFold
0,0.8969925804406356,0.11004401758705219,3.3251235909662284,0.7509411706559822,MIST,0.41485131014979454,1.0544667210302843e-05,0.41484076548258425,0
0,0.9285355513997567,0.11299939095493182,3.2878627791721864,0.7331355811370762,mcImpute,0.41485131014979454,0.00010845943416311495,0.41474285071563144,0
0,1.086579031413925,0.12180541831539596,2.916843711029252,0.7262367266449323,MAGIC,0.41485131014979454,0.0,0.41485131014979454,0
0,1.5630539186316377,0.16623937144981865,2.4104140232664357,0.6129958557644328,spKNN,0.41485131014979454,0.009669459831847707,0.40518185031794685,0
0,2.426761741042256,0.259103381396921,2.1215169297200345,0.35680559835349174,knnSmooth,0.41485131014979454,0.04549722625039668,0.36935408389939783,0
0,0.8988539906964298,0.11005341596714384,3.3254549497729267,0.7496521035846379,MIST,0.41485131014979454,2.5106350500721054e-05,0.4148262037992938,1
0,0.9267814878150318,0.11298566314008868,3.287852691551358,0.7339059996729004,mcImpute,0.41485131014979454,0.00011247645024323032,0.41473883369955133,1
0,1.085320167121022,0.12157366009620113,2.9197134519350825,0.7259872100359177,MAGIC,0.41485131014979454,0.0,0.41485131014979454,1
0,1.5729320619020812,0.16708666792800592,2.4041537078375264,0.610044773750985,spKNN,0.41485131014979454,0.009748293772419972,0.40510301637737456,1
0,2.434726286900486,0.2600602983157756,2.11464725154777,0.3578338789721515,knnSmooth,0.41485131014979454,0.04452761899405883,0.3703236911557357,1
0,0.9027221867421851,0.11046860464667231,3.320396099602139,0.7474595737739419,MIST,0.41485131014979454,3.0629747610879685e-05,0.4148206804021837,2
0,0.9307131321340003,0.1132689944002582,3.2841491050301146,0.7314756362479832,mcImpute,0.41485131014979454,0.00010695305313307169,0.41474435709666146,2
0,1.0895317777415598,0.12193333990845232,2.9148097610529904,0.7238112740957071,MAGIC,0.41485131014979454,0.0,0.41485131014979454,2
0,1.5675594387810678,0.1666488166613758,2.4062532352326698,0.6108508278044928,spKNN,0.41485131014979454,0.009734736343149582,0.40511657380664495,2
0,2.4542070102899025,0.2613985668757143,2.1032985258094374,0.35245933290653864,knnSmooth,0.41485131014979454,0.046977496675919196,0.3678738134738753,2
0,0.8993505476172164,0.11023249736692942,3.324190139925099,0.749528714508896,MIST,0.41485131014979454,2.7114858540778738e-05,0.41482419529125375,3
0,0.9261719153153056,0.11286752219696006,3.2896970831876886,0.7341603545870216,mcImpute,0.41485131014979454,9.138711582262464e-05,0.4147599230339719,3
0,1.088364405896172,0.1219020167578369,2.9152375663486567,0.7248202252528296,MAGIC,0.41485131014979454,0.0,0.41485131014979454,3
0,1.5638049099817675,0.1661284500042478,2.4117900461865407,0.6114561167032521,spKNN,0.41485131014979454,0.009571042937884881,0.4052802672119097,3
0,2.4428136376406613,0.2602992291962746,2.112366186300037,0.35395712076408925,knnSmooth,0.41485131014979454,0.04511761823082578,0.36973369191896877,3
0,0.9134043310348885,0.11174128630339696,3.300465985919093,0.7409000549112867,MIST,0.419010930300754,5.021270100144211e-05,0.41896071759975256,4
0,0.9278537770684236,0.11330375388815592,3.2840437679863177,0.7335135697589631,mcImpute,0.419010930300754,9.540413190274e-05,0.41891552616885125,4
0,1.094822242545728,0.12255509192343919,2.9044349678895505,0.7238015613333996,MAGIC,0.419010930300754,0.0,0.419010930300754,4
0,1.5855141833663589,0.1685528629478092,2.3870812533573575,0.6082128662007497,spKNN,0.419010930300754,0.010062625280688998,0.40894830502006496,4
0,2.4625608073137712,0.26245576860359376,2.0952615486359774,0.35191869321023195,knnSmooth,0.419010930300754,0.04681129263560442,0.3721996376651496,4
